State,CityID,CityName,Population,MonitoringStation,DistanceFromState,Pollutant,DangerousLevel,AlertMessage
Delhi,DL01,New Delhi,21800000,Connaught Place Station,210.5,PM2.5,220,Unhealthy
Delhi,DL02,Dwarka,5000000,Dwarka Sector 21 Station,205.3,PM10,230,Very Unhealthy
Delhi,DL03,Vasant Kunj,1200000,Vasant Kunj Station,190.1,SO2,210,Unhealthy
Delhi,DL04,Rohini,1000000,Rohini Sector 5 Station,180.4,NOx,200,Unhealthy
Delhi,DL05,Mayur Vihar,800000,Mayur Vihar Phase 1 Station,185.2,PM2.5,215,Unhealthy
Delhi,DL06,Karol Bagh,450000,Karol Bagh Station,170.3,CO2,190,Unhealthy
Delhi,DL07,Shahdara,1200000,Shahdara Station,160.5,PM10,180,Unhealthy
Delhi,DL08,Janakpuri,700000,Janakpuri West Station,145.2,SO2,175,Unhealthy
Delhi,DL09,Pitampura,900000,Pitampura Station,130.4,NOx,160,Unhealthy
Delhi,DL10,Saket,600000,Saket Station,135.6,PM2.5,150,Unhealthy
Delhi,DL11,Lajpat Nagar,300000,Lajpat Nagar Station,120.7,CO2,140,Unhealthy
Delhi,DL12,Mehrauli,800000,Mehrauli Station,125.8,PM10,155,Unhealthy
Delhi,DL13,Okhla,900000,Okhla Station,115.9,SO2,145,Moderate
Delhi,DL14,Azadpur,450000,Azadpur Station,110.2,NOx,130,Moderate
Delhi,DL15,Moti Nagar,400000,Moti Nagar Station,100.3,PM2.5,120,Moderate

Uttar Pradesh,UP01,Lucknow,2815600,Hazratganj Station,200.2,PM2.5,220,Unhealthy
Uttar Pradesh,UP02,Kanpur,2760000,Kalyanpur Station,215.3,PM10,240,Very Unhealthy
Uttar Pradesh,UP03,Agra,1580000,Sadar Bazaar Station,195.1,SO2,210,Unhealthy
Uttar Pradesh,UP04,Varanasi,1200000,Godowlia Station,180.2,NOx,200,Unhealthy
Uttar Pradesh,UP05,Allahabad,1400000,Civil Lines Station,185.3,PM2.5,210,Unhealthy
Uttar Pradesh,UP06,Ghaziabad,2390000,Sanjay Nagar Station,230.5,CO2,250,Very Unhealthy
Uttar Pradesh,UP07,Meerut,1500000,Meerut Station,170.4,PM10,190,Unhealthy
Uttar Pradesh,UP08,Noida,650000,Sector 18 Station,165.3,SO2,190,Unhealthy
Uttar Pradesh,UP09,Aligarh,900000,Aligarh Station,150.2,NOx,180,Unhealthy
Uttar Pradesh,UP10,Moradabad,500000,Moradabad Station,130.4,PM2.5,150,Unhealthy
Uttar Pradesh,UP11,Firozabad,300000,Firozabad Station,120.8,CO2,140,Unhealthy
Uttar Pradesh,UP12,Mathura,450000,Mathura Station,125.3,PM10,150,Unhealthy
Uttar Pradesh,UP13,Bareilly,400000,Bareilly Station,135.7,SO2,160,Unhealthy
Uttar Pradesh,UP14,Sitapur,150000,Sitapur Station,110.2,NOx,130,Moderate
