SampleID   pH   Moisture (%)   Pollution Level
1          6.4  39              80
2          7.1  45              130
3          5.7  32              190
4          6.9  47              70
5          7.3  50              350
6          6.2  42              100
7          7.5  40              220
8          6.1  43              85
9          7.0  48              140
10         5.8  36              200
11         7.4  49              310
12         6.7  41              120
13         6.3  34              160
14         7.2  46              400
15         6.5  44              95
16         7.3  45              230
17         6.0  38              180
18         6.8  43              110
19         7.1  40              90
20         5.9  39              150
21         6.6  41              120
22         7.0  45              100
23         6.4  35              175
24         6.7  40              80
25         5.8  33              210
26         7.6  47              280
27         6.3  42              150
28         7.0  50              300
29         6.5  45              140
30         6.2  37              75

